,life,bc,matdeath,teen,abuse,gdp,legis,healthspend,wifehealth,hushealth,bothhealth,eduspend,lit,noschool,bach
687,73.6307804878,,66.0,57.657,,7885.0612923,,5.27751219353,,,,4.38531017303,,7.88163,9.94694
688,73.8097317073,,67.0,54.6654,,8030.69086054,,5.21891836615,,,,4.90490007401,,7.51459,10.73227
689,73.9931463415,,66.0,51.6738,,7918.07890039,,5.40994315433,,,,4.67080020905,1.00857996941,7.14929,7.22368
690,59.438902439,25.7,499.0,94.8934,,372.189002262,,1.52272309662,,,,,0.923839986324,,
691,59.5101463415,,484.0,93.5442,,391.957280988,,1.09467533949,,,,,,,
692,59.5989268293,,471.0,92.195,,428.789838993,,1.66975810228,,,,3.88058996201,,,
693,59.720804878,,458.0,89.6594,,538.697657966,,1.8154748394,,,,,,,
694,59.8887560976,,447.0,87.1238,,609.640698049,,2.01043844535,,,,,,,
695,60.1097804878,,436.0,84.5882,,614.861327262,,2.27405185226,,,,,,,
696,60.3883170732,,426.0,82.0526,,640.742983809,,2.50715151411,,,,,,,
697,60.7123414634,,415.0,79.517,,712.120009845,,2.80299141039,,,,,,,
698,61.0672926829,,407.0,78.5028,,777.677774365,,3.09453206264,,,,7.7941699028,,,
699,61.444195122,,396.0,77.4886,,754.992824376,,1.72121211959,,,,,,,
700,61.8305121951,,388.0,76.4744,,739.897790576,,1.45440889842,,,,,,,
701,62.2127560976,,376.0,75.4602,,790.568095579,,1.65675933543,,,,5.10933017731,,,
702,62.5829756098,19.4,365.0,74.446,4.8,750.314608601,,2.64660402149,20.5,48.3,26.1,5.07111978531,,,
703,62.9321707317,,354.0,71.9988,,796.764538376,,2.00319324481,,,,,,,
704,63.2568536585,,344.0,69.5516,,810.075760031,,2.21732035163,,,,,1.01095998287,,
705,50.0028780488,,874.0,130.501,,397.264871002,,0.0447036119183,,,,,,,
706,50.6293414634,31.4,853.0,130.616,,150.421380493,,0.144179749566,,,,,0.809050023556,,
707,51.346804878,,830.0,130.731,,171.234012142,,0.160080405144,,,,,,,
708,52.1067804878,,808.0,130.607,,169.908591287,,0.700026844481,,,,,,,
709,52.8792682927,,793.0,130.483,,189.58871346,,0.718354640459,,,,,,,
710,53.6382926829,,787.0,130.359,,213.310458976,,0.752462162173,,,,,,,
711,54.3678292683,,789.0,130.235,,246.802813625,,0.938991328189,,,,,,,
712,55.0644146341,20.6,803.0,130.111,,273.486479705,,1.20943434521,22.2,55.4,18.3,,0.67460000515,,
713,55.724,,792.0,128.9472,,310.731024398,,2.09987276099,,,,,,,
714,56.3370731707,,793.0,127.7834,,286.048180345,,2.36297906087,,,,,,,
715,56.8961463415,17.7,794.0,126.6196,,311.247895988,,1.06259561264,,,,1.60243999958,,,
716,57.3986341463,,777.0,125.4558,,350.27065425,,1.25526855203,,,,,,,
717,57.8540731707,,771.0,124.292,,390.706603505,,1.68717362754,,,,,0.841960012913,,
718,58.2719268293,,746.0,123.6202,,413.695798375,,1.32344175133,,,,2.24475002289,,18.30903,1.73273
719,58.659195122,20.4,717.0,122.9484,,437.814931178,,1.59835646991,10.7,52.8,35.6,,,,
720,50.5898780488,,653.0,135.5728,,1035.58446247,,1.22259206198,,,,,,,
721,50.773195122,,657.0,136.3814,,877.626393976,,1.33453248949,,,,,,,
722,51.1792926829,,655.0,137.19,,927.269588575,,1.28795915263,,,,3.20831990242,,,
723,51.7942195122,,641.0,135.5878,,1049.31759518,,1.30017916587,,,,2.83615994453,,,
724,52.598,,622.0,133.9856,,1362.19883289,,1.36967510481,,,,2.28813004494,,,
725,53.5615365854,44.3,596.0,132.3834,,1737.61154643,,1.43460850875,,,,1.83577001095,,,
726,54.6478292683,,575.0,130.7812,,2144.83494288,,1.49403276501,,,,,,,
727,55.8013170732,,555.0,129.179,,2259.26941316,,1.54576413259,,,,,,,
728,56.9650731707,,537.0,128.4348,,3094.10971959,,1.23859287476,,,,,,,
729,58.0936341463,,525.0,127.6906,,2428.26023258,,1.14114181976,,,,,,,
730,59.1431219512,,509.0,126.9464,,2953.18500788,,1.38657897177,,,,6.22078990936,,,
731,60.0851707317,,494.0,126.2022,,3453.22122886,,1.97737525861,,,,,0.898029983044,,
732,60.923902439,44.7,483.0,125.458,,3191.16429881,,3.14942137283,9.8,59.3,30.0,,,,
733,61.6663902439,,469.0,122.346,,3205.45778279,,4.05731116996,,,,,,,
734,62.3111463415,,452.0,119.234,,3147.07152409,,4.21192085202,,,,,,,
735,77.4226829268,,38.0,75.1436,,4062.32230783,32.9405467072,5.61242475993,,,,4.3939499855,1.00864994526,,
736,77.5708780488,,36.0,72.4668,,4104.18408312,25.3573461396,5.48550751117,,,,4.70613002777,,,
737,77.7094634146,,37.0,69.79,,4145.5860931,26.1363337645,6.28347599213,,,,5.06925010681,,,
738,77.8404634146,,36.0,68.73,,4245.67702051,29.0846511633,6.45027528688,,,,5.06166982651,,,
739,77.9653658537,,32.0,67.67,,4441.41215952,26.1782446888,5.65325925732,,,,4.89458990097,,,
740,78.0866585366,96.0,31.0,66.61,,4700.01492585,24.8759182026,5.46571205874,,,,,,,
741,78.207804878,,33.0,65.55,,5228.02541287,29.9152724719,5.39731392358,,,,4.65441989899,,,
742,78.3303170732,96.0,29.0,64.49,,6024.07848678,26.9938668792,5.62783732542,,,,4.73357009888,,5.10308,17.58885
743,78.4577317073,80.0,30.0,63.4048,,6736.1678185,30.4216276274,6.26131067329,,,,5.04482984543,,5.03756,20.32661
744,78.5926097561,81.1,32.0,62.3196,,6546.5655542,,7.02218996471,,,,6.2891201973,,4.91356,20.82971
745,78.7360487805,82.2,29.0,61.2344,,7985.95103533,29.6903045821,7.09261705091,,,,6.81181001663,,5.64808,19.94341
746,78.8901707317,76.2,28.0,60.1492,,8963.68005199,35.1962989001,7.14971400592,,,,6.61588001251,1.00252997875,4.92347,20.52166
747,79.0535365854,,27.0,59.064,,9733.39693054,,7.00022694597,,,,6.86297988892,,5.04501,20.89677
748,79.2252195122,,26.0,58.0514,,10461.5775053,,6.91444116513,,,,6.9200501442,,,
749,79.4027073171,,26.0,57.0388,,10415.4566497,,6.76760152039,,,,7.01164007187,,4.45695,20.26594
750,46.6993902439,,671.0,137.767,,648.810764066,,1.788035704,,,,3.70367002487,0.735809981823,,
751,46.6076097561,,678.0,137.584,,663.641345873,,1.29025786416,,,,3.66867995262,,,
752,46.6955853659,,683.0,137.401,,718.453113027,,1.40860098032,,,,4.0903301239,,,
753,46.9329756098,,700.0,137.4222,,875.086095069,,1.338333609,,,,3.96798992157,,,
754,47.2965365854,,725.0,137.4434,,929.893383976,,1.47167442561,,,,4.12786006927,,,
755,47.7518536585,,742.0,137.4646,,942.21638493,,1.26971949575,,,,4.10575008392,,,
756,48.2587560976,12.9,745.0,137.4858,,962.918442739,,1.35840382469,,,,4.11477994919,,,
757,48.7788292683,,745.0,137.507,,1078.54150199,,1.42821313164,,,,4.29742002487,,,
758,49.2797804878,,745.0,137.0336,,1257.67558193,,1.52862642384,,,,4.44897985458,,,
759,49.7404878049,,732.0,136.5602,,1233.30485612,,1.69681015192,,,,,,,
760,50.1514634146,,717.0,136.0868,,1236.08519807,,1.67617216787,,,,,,,
761,50.5172195122,,715.0,135.6134,,1231.86783405,,1.63569697372,,,,,,,
762,50.8633414634,18.2,715.0,135.14,22.9,1281.38286517,,1.88504549258,10.2,64.1,24.4,,0.664300024509,,
763,51.2084634146,,688.0,135.302,,1447.22282098,,1.79658788267,,,,,,,
764,51.5595853659,,665.0,135.464,,1545.94224925,,1.67853849067,,,,4.71947002411,,,
765,72.807804878,69.0,11.0,16.773,,4919.62806871,24.6641089401,6.6022750634,,,,,,,
