,bc,gdp,healthspend,eduspend
108,47.4474808332,2742.01717419,2.45041491477,4.87384856584
109,50.7112953686,3146.07576079,2.31491407699,4.6707201004
110,51.8981690867,3779.89107824,2.13428100862,4.88061225253
111,47.8462840967,4375.69370374,2.13303766627,3.85933995247
112,56.2483531581,4993.41074425,2.16687238035,4.87955819191
113,50.5380130099,6178.17227786,2.10123272587,4.28228497505
114,39.3223101549,5213.32166496,2.83006684512,1.50189610851
115,46.701012193,5957.94958643,2.48963145668,4.87334906532
116,45.7002170439,6918.90472552,2.53957031103,4.87277488659
117,50.2709053198,7519.65921563,2.71126197892,1.5086485704
118,37.9219254901,7561.65230351,2.89542737844,1.49733139179
119,34.5479695646,7478.99751664,3.07316099423,1.48016962364
120,33.8725917279,7669.27370858,4.96580358157,4.58030986786
121,65.3,7170.68969819,5.06593399237,4.83374023438
122,31.2481374619,2579.18819899,4.45294004905,4.01734018326
123,30.4782613447,3330.42866007,4.25102318285,3.53504991531
124,29.8847062841,4251.56534661,3.52239675805,3.15653991699
125,78.9,5096.25833248,3.66423384815,3.47405004501
126,29.5223484038,5904.67813228,3.65486893608,3.65498995781
127,29.3133723856,7226.27029453,3.78307484081,3.89633989334
128,29.9202185943,8992.5896192,4.12109735204,4.33781003952
129,34.2748551523,8198.56611136,5.04078579918,4.88997983932
130,30.1199356221,10332.0323663,4.16348234485,4.60636997223
131,29.3674844686,12800.2018563,3.745392503,4.98631000519
132,55.4,13040.3063952,2.95895087366,5.09904003143
133,76.6,13027.2048221,2.73502200839,5.34409999847
134,43.2751462834,12324.9387858,2.65267379759,2.9983248729
135,60.5,621.424826319,1.13753199927,2.7727200985
136,40.8537359274,692.301630889,1.5914746224,2.46943998337
137,53.2715624643,779.829626132,1.36133246305,2.13504004478
138,40.4125515071,924.464009818,1.51657026905,2.14505004883
139,45.3994902308,1181.96844542,1.40445070405,2.48673009872
140,53.1,1625.40776913,1.90505340097,2.71202993393
141,49.9966531349,2126.61866107,2.05288205348,2.71577000618
142,43.0736723899,3080.97095944,2.09928499773,3.01893997192
143,50.1664145334,3919.97547381,1.76477031286,3.17272996902
144,52.0374272564,2915.58390591,2.01000537644,3.84079003334
145,54.9,3124.78401786,1.92271406299,3.24900007248
146,50.5108006643,3417.171836,1.9389035361,3.14384007454
147,50.2361615336,3565.51757493,1.87568154135,3.07123994827
148,40.3451929298,3716.82892254,1.94669099663,2.65018010139
149,40.3476711793,3873.53356581,1.9256756668,2.2404999733
150,53.9001020431,20619.5658496,1.59914053347,4.71468019485
151,53.9001285918,20671.5457385,1.60066377354,4.7394900322
152,53.9000114486,20433.6541088,1.62155725822,4.92427015305
153,79.0705381314,20834.9397101,4.44337612828,5.18008986353
154,53.9049281329,22566.6821576,1.59866075112,4.40889978409
155,53.900381932,23302.831988,1.59769624692,4.68075990677
156,73.7805357546,24015.4206123,6.62253045961,4.39003115683
157,53.9016600406,25921.5382341,2.50775701485,4.79918003082
158,53.9000040721,27549.8894225,1.62056904461,4.91558980942
159,53.9623971951,24640.4212441,1.62219138341,5.92467021942
160,53.9068342823,24289.1415161,1.61886895288,6.71249008179
161,53.9030551988,25353.7875446,1.62148364371,6.03687000275
162,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0
165,35.654665033,21665.115454,5.39951166601,4.89465999603
166,33.0099634951,19495.1459334,5.42099865977,2.38254011729
167,70.8,20059.4520721,5.62066014499,2.48326833962
168,40.2350076666,23440.0053222,5.50612733998,2.41515431065
169,33.6637886116,30440.8548786,5.72489888888,2.58716920057
170,72.3,33982.9504272,5.66144848354,4.91266012192
171,36.4761906536,36084.8589777,5.66088659129,4.74493980408
172,36.7642819002,40957.8304392,5.76587639495,4.66115999222
173,37.2020330528,49628.115127,5.92763100804,4.63529014587
174,37.9049478514,42715.132262,6.18655601124,5.09262990952
175,37.7156355302,51845.6548606,6.12733425339,5.56894016266
176,38.18920301,62216.5471294,6.31537827787,5.09907007217
177,38.1112683428,67646.103853,6.28563326865,4.8964600563
178,38.0970590505,67652.6832146,6.27491713947,5.27065992355
179,40.6357098946,61995.8296976,6.31659265831,3.06399496943
180,55.8968445912,24517.267446,7.5363665256,5.59956979752
181,55.4736404491,24489.7355313,7.50331422713,5.58634996414
182,56.7864800345,26351.375677,7.60650834821,5.53268003464
183,58.3984631054,32102.9305524,7.73647976223,5.38186979294
184,59.062156298,36693.4026205,7.79133645949,5.3209400177
185,59.5400878454,38242.0425175,7.83141883027,5.27149009705
186,58.4161804795,40430.9936145,7.73793278646,5.25293016434
187,58.8753116684,46586.6502529,7.77580259182,5.17663002014
188,61.4319899717,51386.3766512,7.99585688891,5.29698991776
189,69.6,47654.1872091,8.46612960853,5.76740980148
190,65.5261633962,46659.8408181,8.40000694654,5.72501993179
191,63.7443770569,51123.5613292,8.21367472312,5.61943006516
192,65.6808613101,48324.2540368,8.4171895618,5.45335006714
193,65.2577193748,50557.803806,8.37061343691,5.56483983994
194,68.1698425982,51148.3588761,8.72502571999,2.8403528695
195,55.1,655.097432603,0.866892751051,3.85399007797
196,55.4,703.67125044,0.846501129775,3.50342011452
