,gdp,life,bc,healthspend,teen,matdeath,wifehealth,hushealth,bothhealth,eduspend,noschool,malenoschool,malelit,malesomeschool,femalelit,bach,fembach,abuse,legis
103,13342.0849977,75.7786585366,,3.59259739302,47.4636,,,,,,,,,,,,,,
104,13432.0792079,75.9376341463,,3.78461067587,45.6642,,,,,,,,98.4000015259,,99.4199981689,,,,
105,2608.88594889,67.6514348947,44.313944495,2.33359609958,53.8314102399,238.0,,,,,,,76.24172,,55.00318,,,,
106,2513.64825356,67.8846698167,,2.58875077999,52.9015276444,233.0,,,,,,,,,,,,,
107,2481.21163817,68.1026251612,,2.54023836002,51.9907926813,226.0,,,,,,,,,,,,,
108,2742.01717419,68.3135558758,,2.45041491477,51.5228563035,221.0,,,,,,,,,,,,,
109,3146.07576079,68.5327227982,,2.31491407699,51.1032496483,214.0,,,,4.6707201004,,,,,,,,,
110,3779.89107824,68.7535209692,,2.13428100862,50.7325902239,207.0,,,,,,,,,,,,,
111,4375.69370374,68.9831885621,,2.13303766627,50.3291352283,200.0,,,,3.85933995247,,,,,,,,,
112,4993.41074425,69.2070082278,,2.16687238035,49.9998514069,193.0,,,,,,,,,,,,,
113,6178.17227786,69.417182777,,2.10123272587,49.8870459355,186.0,,,,4.28228497505,,,,,,,,,
114,5213.32166496,69.6189294898,,2.83006684512,49.7812066055,180.0,,,,,,,,,,,,,
115,5957.94958643,69.813024804,,2.48963145668,49.6729747117,174.0,,,,,,,84.53185,,68.58592,,,,
116,6918.90472552,69.9930095159,,2.53957031103,49.5360469363,170.0,,,,,,,,,,,,,
117,7519.65921563,70.17366957,50.2709053198,2.71126197892,49.3837446925,166.0,,,,,,,,,,,,,
118,7561.65230351,70.3698056783,,2.89542737844,48.7965576984,163.0,,,,,,,,,,,,,
119,7478.99751664,70.5679019106,,3.07316099423,48.1964180548,159.0,,,,,,,,,,,,,
120,7669.27370858,73.755804878,,4.96580358157,66.8976,60.0,,,,4.58030986786,,,,,,,,,27.3994542091
121,7170.68969819,73.9603170732,65.3,5.06593399237,65.9298,61.0,,,,4.83374023438,4.26819,3.97926,97.1931991577,45.65923,97.1934127808,11.08125,12.77619,,27.1669431894
122,2579.18819899,74.1557804878,,4.45294004905,64.962,60.0,,,,4.01734018326,,,,,,,,,25.7655528704
123,3330.42866007,74.3412682927,,4.25102318285,64.0868,61.0,,,,3.53504991531,1.07858,0.83593,,56.56323,,13.65574,15.26402,,28.9498726724
124,4251.56534661,74.5187804878,,3.52239675805,63.2116,59.0,,,,3.15653991699,,,,,,,,,35.6063952295
125,5096.25833248,74.687804878,78.9,3.66423384815,62.3364,58.0,,,,3.47405004501,,,,,,,,,32.8633386793
126,5904.67813228,74.849902439,,3.65486893608,61.4612,57.0,,,,3.65498995781,,,,,,,,,23.1202014781
127,7226.27029453,75.0090487805,,3.78307484081,60.586,58.0,,,,3.89633989334,,,,,,,,,
128,8992.5896192,75.1662682927,,4.12109735204,61.264,57.0,,,,4.33781003952,,,,,,,,,
129,8198.56611136,75.3245609756,,5.04078579918,61.942,62.0,,,,4.88997983932,,,,,,,,,
130,10332.0323663,75.4849756098,,4.16348234485,62.62,58.0,,,,4.60636997223,,,,,,,,,
131,12800.2018563,75.6490487805,,3.745392503,63.298,56.0,,,,4.98631000519,,,,,,,,,
132,13040.3063952,75.8162439024,55.4,2.95895087366,63.976,55.0,,,,5.09904003143,,,,,,,,,
133,13027.2048221,75.986097561,76.6,2.73502200839,63.9136,54.0,,,,5.34409999847,,,,,,,,,
134,12324.9387858,76.1586097561,,2.65267379759,63.8512,54.0,,,,,,,97.9893493652,,98.0756912231,,,,
135,621.424826319,71.2765853659,60.5,1.13753199927,40.229,40.0,33.8,20.2,39.9,2.7727200985,,,,,,,,,
136,692.301630889,71.7558292683,,1.5914746224,37.008,39.0,,,,2.46943998337,0.72683,0.35506,99.6722335815,92.39198,99.1610717773,20.35655,19.49775,,23.939560348
137,779.829626132,72.2016097561,,1.36133246305,33.787,45.0,,,,2.13504004478,,,,,,,,,
138,924.464009818,72.6095853659,,1.51657026905,32.635,43.0,,,,2.14505004883,,,,,,,,,
139,1181.96844542,72.9737560976,,1.40445070405,31.483,41.0,,,,2.48673009872,,,,,,,,,
